Bond,Energy (kJ/mol)
H-H,436
H-F,570
H-Cl,431
H-Br,366
H-I,298
H-C,413
H-O,497
H-N,391
H-P,351
H-S,381
O-H,497
O-F,215
O-Cl,234
O-Br,210
O-I,213
O-C,385
O=C,532
O≡C,1077
O-O,210
O=O,498
O-N,206
O=N,631
O=S,551
F-F,159
F-Cl,261
F-Br,280
F-I,272
Cl-Cl,243
Cl-Br,219
Cl-I,211
Br-Br,194
Br-I,179
I-I,152
C-H,413
C-F,460
C-Cl,350
C-Br,293
C-I,211
C-C,370
C=C,602
C≡C,839
C-O,385
C=O,532
C≡O,1077
C-N,356
C=N,615
C≡N,749
C-P,263
C-S,312
C=S,397
C-Si,375
N-H,391
N-C,356
N=C,615
N≡C,749
N-O,206
N=O,631
N≡O,1020
N-N,277
N=N,418
N≡N,945
N-P,209
N-F,349
N-Cl,334
N-Br,281
S-H,381
S-F,392
S-Cl,272
S-Br,230
S-I,206
S-S,271
S=S,418
